Category: All categories

Week,coinbase: (Worldwide)
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,3
2017-03-05,3
2017-03-12,4
2017-03-19,3
2017-03-26,3
2017-04-02,2
2017-04-09,2
2017-04-16,3
2017-04-23,3
2017-04-30,6
2017-05-07,6
2017-05-14,5
2017-05-21,16
2017-05-28,8
2017-06-04,10
2017-06-11,15
2017-06-18,11
2017-06-25,9
2017-07-02,7
2017-07-09,7
2017-07-16,8
2017-07-23,7
2017-07-30,8
2017-08-06,10
2017-08-13,11
2017-08-20,9
2017-08-27,12
2017-09-03,11
2017-09-10,9
2017-09-17,8
2017-09-24,7
2017-10-01,6
2017-10-08,9
2017-10-15,12
2017-10-22,10
2017-10-29,15
2017-11-05,16
2017-11-12,15
2017-11-19,17
2017-11-26,47
2017-12-03,69
2017-12-10,95
2017-12-17,100
2017-12-24,58
2017-12-31,77
2018-01-07,54
2018-01-14,41
2018-01-21,24
2018-01-28,24
2018-02-04,20
2018-02-11,18
2018-02-18,16
2018-02-25,12
2018-03-04,15
2018-03-11,10
2018-03-18,9
2018-03-25,8
2018-04-01,8
2018-04-08,8
2018-04-15,9
2018-04-22,9
2018-04-29,8
2018-05-06,8
2018-05-13,7
2018-05-20,7
2018-05-27,6
2018-06-03,6
2018-06-10,7
2018-06-17,6
2018-06-24,6
2018-07-01,5
2018-07-08,5
2018-07-15,7
2018-07-22,7
2018-07-29,7
2018-08-05,7
2018-08-12,7
2018-08-19,6
2018-08-26,6
2018-09-02,6
2018-09-09,6
2018-09-16,5
2018-09-23,6
2018-09-30,5
2018-10-07,5
2018-10-14,6
2018-10-21,5
2018-10-28,5
2018-11-04,6
2018-11-11,6
2018-11-18,6
2018-11-25,6
2018-12-02,6
2018-12-09,5
2018-12-16,7
2018-12-23,5
2018-12-30,5
2019-01-06,5
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,5
2019-02-24,6
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,5
2019-03-31,7
2019-04-07,6
2019-04-14,5
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,11
2019-05-19,8
2019-05-26,9
2019-06-02,7
2019-06-09,9
2019-06-16,10
2019-06-23,15
2019-06-30,9
2019-07-07,8
2019-07-14,8
2019-07-21,6
2019-07-28,6
2019-08-04,7
2019-08-11,6
2019-08-18,6
2019-08-25,6
2019-09-01,6
2019-09-08,6
2019-09-15,7
2019-09-22,6
2019-09-29,6
2019-10-06,6
2019-10-13,5
2019-10-20,6
2019-10-27,6
2019-11-03,6
2019-11-10,5
2019-11-17,6
2019-11-24,6
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,7
2020-01-12,7
2020-01-19,6
2020-01-26,7
2020-02-02,8
2020-02-09,9
2020-02-16,8
2020-02-23,7
2020-03-01,6
2020-03-08,10
2020-03-15,9
2020-03-22,8
2020-03-29,7
2020-04-05,8
2020-04-12,7
2020-04-19,8
2020-04-26,11
2020-05-03,11
2020-05-10,11
2020-05-17,9
2020-05-24,7
2020-05-31,8
2020-06-07,8
2020-06-14,7
2020-06-21,7
2020-06-28,7
2020-07-05,8
2020-07-12,8
2020-07-19,8
2020-07-26,11
2020-08-02,13
2020-08-09,12
2020-08-16,12
2020-08-23,9
2020-08-30,9
2020-09-06,8
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,6
2020-10-11,7
2020-10-18,8
2020-10-25,8
2020-11-01,9
2020-11-08,10
2020-11-15,14
2020-11-22,20
2020-11-29,15
2020-12-06,12
2020-12-13,19
2020-12-20,20
2020-12-27,25
2021-01-03,47
2021-01-10,32
2021-01-17,24
2021-01-24,36
2021-01-31,38
2021-02-07,48
2021-02-14,43
2021-02-21,41
